,"2016-01
Transmitter Park,
May 27, 2016","4Ah
BCS,
June 14, 2016","Baseline Spats and Site
ORS 4 tagged spat,
June 23, 2016","June 24 2016
Pier A,
June 24, 2016","Day 1 Data Collection
Tarrytown Boat Club,
July 6, 2016","2016-02
Transmitter Park,
July 9, 2016","7/12/16 - Pier 40
Pier 40,
July 11, 2016","7/17/16
Bearbower,
July 17, 2016","7/19/16 - Pier 26
Pier 26,
July 19, 2016","Day 2 Data Collection
Tarrytown Boat Club,
July 20, 2016","July 23, 2016
61st & John Finley Walk,
July 23, 2016"
Outer side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/fc80634e234ccd96b11ac3715cf048a8.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/c2748af06ad94b3aeff4f4b70060852a.jpg,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/dc422a1a7aa1f540778b82bec34e4da0.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/c69ed0601d5853f13594d6e3bc0f4cad.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/77c35204b9081f504a1f899796ebb452.jpg,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/f530d127f3394fb14e3994996230e053.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/outer-substrates/5e80818e1cc57aa70b6d5c2afd800bc6.jpg
Inner side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates3e9646f9c3b24da8def1cb6fad1776cd.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates73e33ecd9bfe1cb109853e9dac8bd896.jpg,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates2faeae9c214309e2d3e25c2dab3feb23.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates8abbdae1891b0d35f27a3bb0d87146a0.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesf9cc952e65d92a1872c23a6d809226b0.jpg,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates8fb4cb359c31b98dbdb604addef2d9cb.JPG,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates6e08b36f2f497c57896200139f37af84.jpg
Set date,7/6/2016,6/13/2016,2/7/2017,8/13/2016,7/20/2016,7/6/2016,9/21/2016,6/3/2017,7/12/2015,7/20/2016,7/24/2016
Source,"Muscongus Bay, Maine",?,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",oyster garden
Total number of live oysters at baseline,7,,,5,,7,8,19,13,,
Total mass of live oysters at baseline (g),,,,,,,,0,,,
Total number of live oysters on shell,9,17,9,5,0,7,8,0,13,,7
Total mass of scrubbed substrate shell + oysters + tag (g),,,,,,0,,,1,,
Measurements (mm),"21,19,14,20,19,15,18,15,30","28,11,13,12,14,32,26,23,38,20,17,14,21,15,15,16,14","23,19,20,17,11,21,27,28,20","29,26,31,10,18",,"45,35,30,35,25,35,40","34,25,29,33,15,12,46,19",,"35,25,30,30,43,38,40,30,40,50,20,25,32",,"30,25,10,25,32,35,29"
Minimum size of live oysters (mm),14,11,11,10,,25,12,0,20,,10
Maximum size of live oysters (mm),30,38,28,31,,45,46,0,50,,35
Average size of live oysters (mm),19,19.35294118,20.66666667,22.8,,35,26.625,0,33.69230769,,26.57142857
Substrate Shell #6,,,,,,,,,,,
