"","Expedition 1
Whole Foods Gowanus (MS51),
October 7, 2016","WFC- Baseline
The WaterFront Center,
October 10, 2016","First Expedition
GHS ORS,
October 11, 2016","Day 7 Tarrytown
Tarrytown Boat Club,
October 12, 2016","EXPEDITION #1 7A
IS 281 Joe Gulino,
October 13, 2016","October Oyster Monitoring
IS 288 ORS,
October 13, 2016","APES CURTIS HS 1
CURTIS HS,
October 13, 2016","10/14/16 - Pier 26
Pier 26,
October 14, 2016","Yonkers Day 5
Science Barge,
October 15, 2016","2016-10-16 Monitoring
Katy's Cage on Brooklyn Barge,
October 16, 2016","10/17/16 - Pier 84
Pier 84,
October 17, 2016","PS 71 - McMurray Hall (East) Trip #1
SUNY Maritime McMurray Hall East,
October 17, 2016","Team Leaders
East Harlem,
October 19, 2016","Our first trip!
McKinney Oysters,
October 19, 2016","October Pier 40
Pier 40,
October 20, 2016"
Inner side photo,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates65ce5312e3a7d9cdea941f6d74b42769.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates30ad44156deb91f3ffa0df961b087b40.jpg,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesd03262b7986e3f1b61e45b9ef9c4a4ab.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates0d31285e3a022381146d7ea7502d1d5a.JPG,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates33449c8e26a5dff0533b4a3587c42b5f.jpg,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates32faeeb51d7cf720d447327a819d0df9.JPG,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substratesda81b260c4129b0f7a6cefd2f53f76a1.jpg,,,,http://s3-us-west-1.amazonaws.com/digital-platform-prod-files/uploads/protocols/oyster-measurements/img/inner-substrates39cbe0910993eb8b5b0b20837e0b230a.jpg
Set date,1/1/70,1/1/70,11/18/16,7/14/15,,,12/31/69,7/13/15,7/15/15,8/15/15,7/15/15,7/15/15,6/9/16,,
Source,"Muscongus Bay, Maine","Muscongus Bay, Maine",Wallabout Channel,"Muscongus Bay, Maine",,,"Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine","Muscongus Bay, Maine",,
Total number of live oysters at baseline,4,11,6,5,,,2,12,,2,,0,3,,
Total mass of live oysters at baseline (g),,,83,,,,,,,,,,,,
Total number of live oysters on shell,3,11,6,4,0,0,2,4,9,2,5,0,2,2,3
Total mass of scrubbed substrate shell + oysters + tag (g),0,91,1.66,0,0,0,0,115.7,0,0,81.5,0,27.5,0,0
Measurements (mm),"55.26,55.8,43.41","52,27,21,70,23,22,37,32,45,38,32","40,36,25,32,35,32","66,51,46,48",,,"45.5,44.9","58,38,61,50","57,36,45,44,52,30,30,49,44","34,36","23,58,54,40,23",,"39.5,38.3","46,11","90.5,90,56.4"
Minimum size of live oysters (mm),43.41,21,25,46,,,44.9,38,30,34,23,0,38.3,11,56.4
Maximum size of live oysters (mm),55.8,70,40,66,,,45.5,61,57,36,58,0,39.5,46,90.5
